"","Team","RegSeasonPCT","PreSeasonPCT","Color","PreTO","RegTO","PrePass","RegPass","PreRush","RegRush","PreDef","RegDef","PrePassAtt","RegPassAtt","PreRushAtt","RegRushAtt","playOffDepth"
"1","Arizona Cardinals",0.469,0.25,"#9B2743",362.2,366.8,219.8,366.8,142.5,108.2,287.2,305.2,35.2,40.4,33.5,24.9,0
"2","Atlanta Falcons",0.688,0.75,"#A6192E",366,415.8,259.2,415.8,106.8,120.5,263.5,371.2,33.5,33.6,28.8,26.3,4
"3","Baltimore Ravens",0.5,1,"#280353",303.5,347.7,190.8,347.7,112.8,91.4,273.2,322.1,32.8,42.4,31.2,22.9,0
"4","Buffalo Bills",0.438,0.25,"#00338D",311.5,354.1,209.8,354.1,101.8,164.4,283.8,357,38,29.6,29.5,30.8,0
"5","Carolina Panthers",0.375,0.5,"#0085CA",342.8,343.7,242.8,343.7,100,113.4,257.8,359.8,39.2,35.2,28.2,28.3,0
"6","Chicago Bears",0.188,0.25,"#051C2C",250.5,356.5,154.8,356.5,95.8,108.4,320.5,346.8,30.5,34.9,25.8,23.8,0
"7","Cincinnati Bengals",0.406,0.25,"#FB4F14",300.8,356.9,213.8,356.9,87,110.6,309.2,350.8,33,35.2,27.8,27.9,0
"8","Cleveland Browns",0.062,0,"#382F2D",214,311,133.2,311,80.8,107,374.2,392.4,28,35.4,19,21.9,0
"9","Dallas Cowboys",0.812,0.25,"#041E42",315.2,376.7,198.5,376.7,116.8,149.8,358,343.9,29.5,30.2,23.2,31.2,2
"10","Denver Broncos",0.562,0.5,"#FC4C02",336.2,323.1,231.5,323.1,104.8,92.8,305,316.1,35.2,35.6,27,25.6,0
"11","Detroit Lions",0.562,0.5,"#0069B1",327.8,338.8,224.5,338.8,103.2,81.9,252.8,354.8,36.8,37.1,26,21.9,1
"12","Green Bay Packers",0.625,0.75,"#175E33",274.5,368.8,147.8,368.8,126.8,106.3,219.5,363.9,30.2,38.8,36.5,23.4,3
"13","Houston Texans",0.562,1,"#091F2C",290,314.7,204.2,314.7,85.8,116.2,316.8,301.3,30.8,36.4,30,28.5,2
"14","Indianapolis Colts",0.5,0.5,"#001489",331.2,364.4,274.2,364.4,57,101.8,333.2,382.9,37.2,36.5,21.2,25.6,0
"15","Jacksonville Jaguars",0.188,0.25,"#006073",285,334.9,180.5,334.9,104.5,101.9,306.8,321.7,31.8,39.1,25,24.5,0
"16","Kansas City Chiefs",0.75,0.5,"#C8102E",355.2,343,250.8,343,104.5,109.2,254.2,368.5,40.8,34.1,27,25.8,2
"17","Los Angeles Rams",0.25,0.5,"#041E42",298.2,262.7,162.5,262.7,135.8,78.2,301.5,337,33.2,33.5,26.2,23.4,0
"18","Miami Dolphins",0.625,0.5,"#008E97",283.5,332.8,194.8,332.8,88.8,114,307.5,382.6,31.8,29.8,28.5,25.3,1
"19","Minnesota Vikings",0.5,1,"#512D6D",260,315.1,176.5,315.1,83.5,75.3,309.5,314.9,27,36.8,28.2,23.8,0
"20","New England Patriots",0.875,0.75,"#C8102E",350,386.2,245.8,386.2,104.2,117,351,326.4,36.2,34.4,25.8,30.1,5
"21","New Orleans Saints",0.438,0,"#A28D5B",312,426,215.2,426,96.8,108.9,341.5,375.4,38.8,42.1,27,25.2,0
"22","New York Giants",0.688,0.5,"#001E62",228.8,330.7,122,330.7,106.8,88.2,331.5,339.7,27.8,37.4,26,24.9,1
"23","New York Jets",0.312,0.25,"#0C371D",287,329.2,227.8,329.2,59.2,112.6,293.8,342.4,41,34.4,20.8,26.1,0
"24","Oakland Raiders",0.75,0.25,"#101820",308,373.3,189.5,373.3,118.5,120.1,303.2,375.1,32.2,37.2,22.2,27.1,1
"25","Philadelphia Eagles",0.438,1,"#004851",286,337.4,191.8,337.4,94.2,113.3,273,342.8,36.2,38.1,27,27.4,0
"26","Pittsburgh Steelers",0.688,0.25,"#FFB81C",233.2,372.6,165,372.6,68.2,110,347,342.6,28.5,37.2,21.8,25.6,3
"27","San Diego Chargers",0.312,0.25,"#0C2340",292.2,356.8,202.2,356.8,90,94.4,339.2,347.1,32.2,36.2,25.5,24.9,0
"28","San Francisco 49ers",0.125,0.5,"#9B2743",347.2,308.1,163,308.1,184.2,126.2,322,406.4,30.8,30.7,32.2,28.6,0
"29","Seattle Seahawks",0.656,0.75,"#001433",323.2,357.2,180.5,357.2,142.8,99.4,300.5,318.7,32.5,35.4,29.2,25.2,2
"30","Tampa Bay Buccaneers",0.562,0.5,"#C8102E",320,346.4,242.2,346.4,77.8,101,237.8,367.9,40.8,36.1,29.5,28.3,0
"31","Tennessee Titans",0.562,0.75,"#648FCC",345.2,358,184.2,358,161,136.7,345.8,357.5,24,31.5,30,29.8,0
"32","Washington Redskins",0.531,0.75,"#862633",299.8,403.4,168.2,403.4,131.5,106,320.5,377.9,29.5,37.9,29.5,23.7,0
